"CLT_ID","LIST_DATE","Count_Range_1_799","Count_Range_800_999","Count_Range_1000_1499","Count_Range_1500_1999","Count_Range_2000_2499","Count_Range_2500_2999","Count_Range_3000_3499","Count_Range_3500_3999","Count_Range_4000_4499","Count_Range_4500_4999","Count_Range_5000_5999","Count_Range_6000_6999","Count_Range_7000_7999","Count_Range_8000_8999","Count_Range_9000_9999","Count_Range_10000plus","Range_1_799","Range_800_999","Range_1000_1499","Range_1500_1999","Range_2000_2499","Range_2500_2999","Range_3000_3499","Range_3500_3999","Range_4000_4499","Range_4500_4999","Range_5000_5999","Range_6000_6999","Range_7000_7999","Range_8000_8999","Range_9000_9999","Range_10000plus","Total_Count_Ranges","Total_Cur_Bal"
"3000SEMI","2022-11-17","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","506.66","0.00","0.00","0.00","0.00","0.00","0.00","7268.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3","7775.28"
"3000SEMI","2022-12-19","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0.00","0.00","0.00","0.00","0.00","2682.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13253.02","2","15935.26"
"3000SEMI","2023-01-21","9","0","1","1","8","6","11","1","3","4","3","2","2","2","0","1","2998.85","0.00","1308.94","1912.59","18051.25","16598.25","35609.39","3863.01","12683.04","18425.41","15973.96","12263.51","15516.55","16402.02","0.00","12544.49","54","184151.26"
"3000SEMI","2023-02-28","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","2399.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","2399.26"
"3100MEDI","","40","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","18513.06","0.00","0.00","0.00","0.00","2969.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","41","21482.35"
"3100MEDI","2023-06-20","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4367.89","0.00","0.00","0.00","0.00","2969.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12","7337.18"
"3100MEDI","2023-07-19","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14145.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29","14145.17"
"3100MEMB","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","600.00"
"3100MEMB","2023-07-19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","600.00"
"3100PERS","","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10204.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19","10204.66"
"3100PERS","2023-06-20","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7149.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14","7149.40"
"3100PERS","2023-07-19","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3055.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5","3055.26"
"3100SEMI","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1329.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","1329.98"
"3100SEMI","2023-07-19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1329.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","1329.98"
"3200MEDI","","15","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8324.74","0.00","0.00","0.00","0.00","2551.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16","10876.02"
"3200MEDI","2023-03-21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","2551.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","2551.28"
"3200MEDI","2023-04-07","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7198.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13","7198.48"
"3200MEDI","2023-07-19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1126.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","1126.26"
"3200PERS","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1984.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","1984.82"
"3200PERS","2023-04-07","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","751.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","751.97"
"3200PERS","2023-06-20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","931.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","931.96"
