"CLT_ID","LIST_DATE","Count_Range_1_799","Count_Range_800_999","Count_Range_1000_1499","Count_Range_1500_1999","Count_Range_2000_2499","Count_Range_2500_2999","Count_Range_3000_3499","Count_Range_3500_3999","Count_Range_4000_4499","Count_Range_4500_4999","Count_Range_5000_5999","Count_Range_6000_6999","Count_Range_7000_7999","Count_Range_8000_8999","Count_Range_9000_9999","Count_Range_10000plus","Range_1_799","Range_800_999","Range_1000_1499","Range_1500_1999","Range_2000_2499","Range_2500_2999","Range_3000_3499","Range_3500_3999","Range_4000_4499","Range_4500_4999","Range_5000_5999","Range_6000_6999","Range_7000_7999","Range_8000_8999","Range_9000_9999","Range_10000plus","Total_Count_Ranges","Total_Cur_Bal"
"CPM001","2022-04-13","3","2","2","0","1","2","1","4","9","16","47","28","0","0","0","0","1998.30","1709.77","2241.89","0.00","2138.81","5739.99","3283.35","15088.46","38257.98","75417.40","260691.58","176526.58","0.00","0.00","0.00","0.00","115","583094.11"
"CPM001","2022-05-06","4","0","2","2","1","2","0","7","12","6","31","21","0","0","0","0","2516.43","0.00","2803.78","3602.13","2165.48","5663.67","0.00","26442.16","51347.46","28607.00","173790.35","130833.45","0.00","0.00","0.00","0.00","88","427771.91"
"CPM001","2022-06-03","0","1","0","0","0","0","0","2","10","5","26","5","0","0","0","0","0.00","855.62","0.00","0.00","0.00","0.00","0.00","7570.77","42437.29","23642.60","141651.39","30257.16","0.00","0.00","0.00","0.00","49","246414.83"
"CPM001","2022-07-08","1","0","0","0","0","3","0","5","9","11","35","4","0","0","0","0","386.93","0.00","0.00","0.00","0.00","8302.30","0.00","18811.87","37792.53","53485.27","191167.17","24245.00","0.00","0.00","0.00","0.00","68","334191.07"
"CPM001","2022-08-12","2","0","0","1","0","0","2","3","6","9","20","2","0","0","0","0","737.52","0.00","0.00","1639.83","0.00","0.00","6780.85","11279.42","25769.02","42904.15","108616.05","12075.75","0.00","0.00","0.00","0.00","45","209802.59"
"CPM002","","0","0","0","1","1","8","12","5","1","0","0","0","0","0","0","0","0.00","0.00","0.00","1932.62","2107.80","21827.46","38643.38","18606.39","4332.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28","87449.80"
"CPM002","2022-01-05","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","6126.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","6126.88"
"CPM002","2022-02-03","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4332.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","4332.15"
"CPM002","2022-03-22","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","2660.48","9726.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","12386.98"
"CPM002","2022-04-13","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","8396.18","12649.85","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7","21046.03"
"CPM002","2022-05-06","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","5280.81","0.00","7572.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","12853.54"
"CPM002","2022-06-03","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","5489.99","0.00","3614.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3","9104.65"
"CPM002","2022-07-08","0","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","2107.80","0.00","6755.83","7419.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5","16282.63"
"CPM002","2022-08-12","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","1932.62","0.00","0.00","3384.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","5316.94"
"CPM003","","4","6","18","10","5","15","9","16","6","1","7","1","1","1","0","0","1985.24","5692.26","23467.01","17619.88","11157.04","40583.76","29298.30","58408.37","25917.62","4553.15","39265.57","6804.80","7219.07","8591.19","0.00","0.00","100","280563.26"
"CPM003","2022-01-05","0","0","3","1","1","0","1","0","0","0","0","0","0","1","0","0","0.00","0.00","4045.04","1770.96","2122.19","0.00","3103.21","0.00","0.00","0.00","0.00","0.00","0.00","8591.19","0.00","0.00","7","19632.59"
"CPM003","2022-01-14","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0.00","0.00","1304.29","0.00","0.00","0.00","0.00","7243.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3","8547.86"
"CPM003","2022-03-22","2","0","4","4","2","1","2","2","0","1","1","0","0","0","0","0","1113.56","0.00","4922.63","7017.39","4429.15","2675.00","6157.84","7238.46","0.00","4553.15","5869.30","0.00","0.00","0.00","0.00","0.00","19","43976.48"
"CPM003","2022-04-13","1","0","2","1","0","1","2","2","2","0","0","0","0","0","0","0","760.80","0.00","2542.61","1785.95","0.00","2679.23","6613.65","7174.73","8608.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11","30165.76"
"CPM003","2022-05-06","0","0","5","2","1","2","3","4","2","0","1","0","0","0","0","0","0.00","0.00","6808.43","3389.27","2200.48","5483.05","10047.60","14658.95","8605.20","0.00","5139.81","0.00","0.00","0.00","0.00","0.00","20","56332.79"
"CPM003","2022-06-03","0","1","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0.00","967.82","1321.55","0.00","0.00","5435.01","0.00","3867.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5","11591.41"
"CPM003","2022-07-08","0","3","0","1","0","4","1","2","0","0","2","0","0","0","0","0","0.00","2804.78","0.00","1995.00","0.00","10719.00","3376.00","7549.00","0.00","0.00","11127.00","0.00","0.00","0.00","0.00","0.00","13","37570.78"
"CPM003","2022-08-12","1","1","2","1","1","5","0","3","2","0","3","1","1","0","0","0","110.88","922.71","2522.46","1661.31","2405.22","13592.47","0.00","10676.63","8703.63","0.00","17129.46","6804.80","7219.07","0.00","0.00","0.00","21","71748.64"
"CPM003","2023-02-15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","996.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","996.95"
"CPM004","","0","0","1","2","2","1","0","1","2","0","5","0","3","0","0","0","0.00","0.00","1018.12","3384.16","4457.22","2631.71","0.00","3883.25","8625.24","0.00","27715.70","0.00","22538.45","0.00","0.00","0.00","17","74253.85"
"CPM004","2022-04-13","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0.00","0.00","0.00","0.00","2108.46","0.00","0.00","0.00","0.00","0.00","5112.44","0.00","7676.20","0.00","0.00","0.00","3","14897.10"
"CPM004","2022-05-06","0","0","0","1","1","1","0","1","2","0","4","0","2","0","0","0","0.00","0.00","0.00","1566.05","2348.76","2631.71","0.00","3883.25","8625.24","0.00","22603.26","0.00","14862.25","0.00","0.00","0.00","12","56520.52"
"CPM004","2022-06-03","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","1018.12","1818.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","2836.23"
"CPM005","","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","3006.48","7509.75","0.00","0.00","5799.14","0.00","0.00","0.00","0.00","0.00","4","16315.37"
"CPM005","2022-03-22","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3747.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","3747.57"
"CPM005","2022-04-13","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","3006.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","3006.48"
"CPM005","2022-05-06","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3762.18","0.00","0.00","5799.14","0.00","0.00","0.00","0.00","0.00","2","9561.32"
"CPM007","","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0.00","989.00","4498.45","1813.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6","7300.84"
"CPM007","2022-07-08","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","989.00","1160.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","2149.00"
"CPM007","2022-08-12","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","3338.45","1813.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","5151.84"
"WF4001","","200","16","16","11","0","0","0","0","0","0","0","0","0","0","0","0","75237.78","14421.64","19044.61","18905.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","244","129109.67"
"WF4001","2021-08-24","41","1","5","4","0","0","0","0","0","0","0","0","0","0","0","0","18993.43","887.50","6248.46","6850.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51","32979.40"
"WF4001","2021-09-10","57","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","19214.07","3699.91","2499.95","3615.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","65","29029.53"
"WF4001","2021-10-15","44","6","2","3","0","0","0","0","0","0","0","0","0","0","0","0","15260.19","5303.81","2125.25","4966.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56","29155.70"
"WF4001","2021-11-17","39","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","13464.60","1779.42","5870.09","1739.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47","22853.51"
"WF4001","2021-12-29","14","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6501.53","1828.50","1171.50","1734.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18","11235.71"
"WF4001","2022-01-31","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1803.96","922.50","1129.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7","3855.82"
"WF4002","","8","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","2928.14","0.00","1210.00","3970.20","4254.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13","12362.34"
"WF4002","2021-09-10","8","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","2928.14","0.00","1210.00","3970.20","4254.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13","12362.34"
"WF4003","","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1094.85","2588.95","2072.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9","5756.18"
"WF4003","2021-10-15","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1094.85","2588.95","2072.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9","5756.18"
"WF4004","","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3564.51","0.00","0.00","1938.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11","5502.59"
"WF4004","2021-11-17","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3564.51","0.00","0.00","1938.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11","5502.59"
"WF4005","","3","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","583.12","953.50","1107.75","1727.60","2127.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7","6498.97"
"WF4005","2021-12-29","3","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","583.12","953.50","1107.75","1727.60","2127.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7","6498.97"
"WF4006","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","1008.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","1008.50"
"WF4006","2022-01-31","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","1008.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","1008.50"
